Transaction date,Transaction,Name,Memo,Amount
5/4/2016,DEBIT,RODALS MONTREAL QC,Rewards earned: 0.09 ~ Category: Other,-9.19
5/4/2016,DEBIT,BOUCHERIE ET CHARC QCO COTE ST L,Rewards earned: 0.14 ~ Category: Other,-14.19
5/3/2016,DEBIT,DELI 365 MONTREAL QC,Rewards earned: 0.33 ~ Category: Restaurant,-8.37
5/3/2016,DEBIT,CUISINET MONTREAL QC,Rewards earned: 0.06 ~ Category: Furniture,-5.74
5/3/2016,DEBIT,BENTZYS KOSHER FOOD DE OUTREMONT,Rewards earned: 0.58 ~ Category: Groceries,-14.61
5/3/2016,DEBIT,CENTRES DES SCIENCES D MONTREAL ,Rewards earned: 0.45 ~ Category: Entertainment,-44.96
5/3/2016,DEBIT,BOUTIQUE CADEAUX NEURO MONTREAL ,Rewards earned: 0.07 ~ Category: Other,-6.88
5/3/2016,DEBIT,MEDITERRANEO STEAK HOU SAINT-LAU,Rewards earned: 4.58 ~ Category: Restaurant,-114.61
5/2/2016,DEBIT,TTC LAWRENCE WEST S NORTH YORK O,Rewards earned: 0.12 ~ Category: Parking,-11.6
5/2/2016,DEBIT,CHEZ BENNY MONTREAL QC,Rewards earned: 0.27 ~ Category: Restaurant,-6.67
5/2/2016,DEBIT,CHEZ BENNY MONTREAL QC,Rewards earned: 1.74 ~ Category: Restaurant,-43.45
4/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.17 ~ Category: Bill Payment,-16.95
4/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.23 ~ Category: Bill Payment,-22.6
4/26/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.20 ~ Category: Groceries,-5.07
4/22/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 2.96 ~ Category: Groceries,-74.02
4/19/2016,DEBIT,WINNERS 319 TORONTO ON,Rewards earned: 0.19 ~ Category: Other,-19.2
4/19/2016,DEBIT,AXESS LAW PROFESSIONAL TORONTO O,Rewards earned: 2.26 ~ Category: Other,-225.98
4/19/2016,DEBIT,VIA RAIL//ISQ204/06MAY MONTREAL ,Rewards earned: 1.22 ~ Category: Other,-122.12
4/19/2016,DEBIT,WAL-MART #3106 TORONTO ON,Rewards earned: 1.30 ~ Category: Groceries,-32.52
4/18/2016,DEBIT,PERSONAL INSURANCE COM MISSISSAU,Rewards earned: 21.17 ~ Category: Bill Payment,-2117
4/18/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.34 ~ Category: Groceries,-8.6
4/15/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.45 ~ Category: Groceries,-11.24
4/14/2016,DEBIT,PETROCAN TORONTO ON,Rewards earned: 1.21 ~ Category: Gas,-30.22
4/14/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.44 ~ Category: Groceries,-11.06

